year,city,category,value
2012,早島町,農林水産,0
2012,里庄町,農林水産,0
2012,矢掛町,農林水産,0.4510566
2012,新庄村,農林水産,13.9243444
2012,鏡野町,農林水産,10.11784311
2012,勝央町,農林水産,6.564799095
2012,奈義町,農林水産,15.97851006
2012,西粟倉村,農林水産,0
2012,久米南町,農林水産,10.29512697
2012,美咲町,農林水産,13.80947243
2012,吉備中央町,農林水産,6.056011572
2012,岡山市,サービス業,1.025674085
2012,倉敷市,サービス業,0.849046735
2012,津山市,サービス業,0.916994683
2012,玉野市,サービス業,0.861305174
2012,笠岡市,サービス業,0.570348269
2012,井原市,サービス業,0.461121782
2012,総社市,サービス業,0.672927253
2012,高梁市,サービス業,0.777968758
2012,新見市,サービス業,0.90854265
2012,備前市,サービス業,0.662802496
2012,瀬戸内市,サービス業,1.173144791
2012,赤磐市,サービス業,0.478589968
2012,真庭市,サービス業,0.912290129
2012,美作市,サービス業,1.586011308
2012,浅口市,サービス業,1.280826022
2012,和気町,サービス業,0.674397538
2012,早島町,サービス業,0.692965416
2012,里庄町,サービス業,0.339502007
2012,矢掛町,サービス業,0.360716368
2012,新庄村,サービス業,0.876555074
2012,鏡野町,サービス業,0.718405843
2012,勝央町,サービス業,0.706187852
2012,奈義町,サービス業,0.511842347
2012,西粟倉村,サービス業,0.248194946
2012,久米南町,サービス業,0.730769559
2012,美咲町,サービス業,0.894980863
2012,吉備中央町,サービス業,0.491245829
